epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,79291.8,1.1608,1.60463,1.37652,0.86213,0.82009,0.89471,0.53667,1.0067,1.77876,0.9853,0.00353298,0.00353298,0.00353298
163,80084.3,1.16336,1.61023,1.37664,0.86194,0.8194,0.8949,0.53664,1.00639,1.76697,0.98498,0.00348228,0.00348228,0.00348228
164,80875.6,1.16932,1.61757,1.37663,0.86158,0.81945,0.89482,0.53678,1.00597,1.7604,0.98465,0.00343189,0.00343189,0.00343189
165,81669.4,1.16457,1.60658,1.37776,0.86335,0.81855,0.89476,0.53727,1.00547,1.7514,0.98432,0.00338183,0.00338183,0.00338183
166,82461.4,1.15768,1.6024,1.37082,0.86395,0.81846,0.89538,0.53786,1.00504,1.73659,0.98432,0.00333211,0.00333211,0.00333211
167,83254.2,1.15677,1.60221,1.37279,0.86401,0.81837,0.89512,0.53801,1.00449,1.72549,0.98377,0.00328273,0.00328273,0.00328273
168,84046,1.15858,1.5989,1.37198,0.86432,0.82,0.89527,0.53816,1.00402,1.72066,0.98351,0.0032337,0.0032337,0.0032337
169,84837.9,1.15437,1.60104,1.3728,0.86571,0.81823,0.89567,0.53869,1.00397,1.71737,0.98353,0.00318502,0.00318502,0.00318502
170,85631,1.15482,1.58472,1.36816,0.86909,0.81723,0.89575,0.5387,1.00376,1.71356,0.98323,0.00313671,0.00313671,0.00313671
171,86430.7,1.15439,1.59395,1.37024,0.86902,0.81734,0.89581,0.53871,1.00338,1.70897,0.98317,0.00308878,0.00308878,0.00308878
172,87242.6,1.15003,1.58524,1.36737,0.86917,0.81619,0.89539,0.53864,1.00375,1.7049,0.98369,0.00304123,0.00304123,0.00304123
173,88031.7,1.14482,1.56498,1.36481,0.86859,0.81783,0.89586,0.53902,1.00333,1.70871,0.98358,0.00299406,0.00299406,0.00299406
174,88826.2,1.15218,1.57342,1.36345,0.86854,0.81765,0.89604,0.53913,1.00361,1.70531,0.98373,0.00294729,0.00294729,0.00294729
175,89623.4,1.14575,1.56588,1.35763,0.87044,0.81555,0.89601,0.5395,1.00319,1.70193,0.98345,0.00290092,0.00290092,0.00290092
176,90416.4,1.15157,1.56673,1.36123,0.8677,0.81779,0.89593,0.53986,1.00292,1.69787,0.98331,0.00285497,0.00285497,0.00285497
177,91209.5,1.14298,1.54694,1.35962,0.86784,0.81983,0.89594,0.54005,1.00327,1.6926,0.98307,0.00280943,0.00280943,0.00280943
178,92002.7,1.13364,1.5454,1.35422,0.86726,0.81975,0.89598,0.54037,1.00335,1.68946,0.9827,0.00276431,0.00276431,0.00276431
179,92795.3,1.14283,1.55187,1.35904,0.86913,0.81886,0.8961,0.54047,1.0031,1.68628,0.98251,0.00271963,0.00271963,0.00271963
180,822.11,1.12238,1.51294,1.34788,0.86756,0.81919,0.89584,0.54065,1.00297,1.68927,0.98226,0.00267539,0.00267539,0.00267539
181,1618.56,1.13266,1.54446,1.35403,0.86888,0.8182,0.89621,0.5408,1.00305,1.68958,0.98256,0.00263159,0.00263159,0.00263159
